Reading file tmp.dxf...
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 2 Width: 4 Type: BYLAYER
  Attributes: Layer: 0,  Color: 178 Width: 4 Type: BYLAYER
  Attributes: Layer: 0,  Color: 82 Width: 4 Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: BYLAYER Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: BYLAYER Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: BYLAYER Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: BYLAYER Type: BYLAYER
  Attributes: Layer: 0,  Color: 1 Width: 5 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 82 Width: 4 Type: BYLAYER
  Attributes: Layer: 0,  Color: 178 Width: 4 Type: BYLAYER
  Attributes: Layer: 0,  Color: 2 Width: 4 Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: BYLAYER Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: BYLAYER Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: BYLAYER Type: BYLAYER
  Attributes: Layer: 0,  Color: BYLAYER Width: BYLAYER Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
  Attributes: Layer: 0,  Color: 7 Width: 2 Type: BYLAYER
